SN,County,Built-up area,Citypopulation,Column 1
71,Bedfordshire,Bedford,"97,241",Large
416,Bedfordshire,Biggleswade,"21,950",Medium
260,Bedfordshire,Dunstable,"34,500",Medium
404,Bedfordshire,Kempston,"22,785",Medium
206,Bedfordshire,Leighton Buzzard,"42,735",Medium
22,Bedfordshire,Luton,"233,498",Major
379,Berkshire,Ascot,"23,995",Medium
97,Berkshire,Bracknell,"78,660",Large
273,Berkshire,Caversham,"33,040",Medium
123,Berkshire,Maidenhead,"67,374",Medium
209,Berkshire,Newbury,"42,260",Medium
24,Berkshire,Reading,"203,808",Major
453,Berkshire,Sandhurst,"20,215",Medium
34,Berkshire,Slough,"166,877",Large
358,Berkshire,Thatcham,"25,550",Medium
288,Berkshire,Windsor,"31,560",Medium
171,Berkshire,Wokingham,"50,320",Medium
321,Berkshire,Woodley,"28,025",Medium
7,Bristol,Bristol,"425,232",Major
85,Buckinghamshire,Aylesbury,"87,967",Large
197,Buckinghamshire,Bletchley,"45,010",Medium
385,Buckinghamshire,Chesham,"23,695",Medium
458,Buckinghamshire,Hazlemere,"20,005",Medium
91,Buckinghamshire,High Wycombe,"83,523",Large
17,Buckinghamshire,Milton Keynes [a],"197,354",Major
37,Cambridgeshire,Cambridge,"152,725",Large
356,Cambridgeshire,Huntingdon,"25,600",Medium
27,Cambridgeshire,Peterborough,"190,584",Large
269,Cambridgeshire,St Neots,"33,265",Medium
340,Cambridgeshire,Wisbech,"26,795",Medium
80,Cheshire,Chester,"92,742",Large
297,Cheshire,Congleton,"30,005",Medium
111,Cheshire,Crewe,"74,123",Medium
125,Cheshire,Ellesmere Port,"65,421",Medium
154,Cheshire,Macclesfield,"54,340",Medium
135,Cheshire,Runcorn,"61,635",Medium
31,Cheshire,Warrington,"174,954",Large
140,Cheshire,Widnes,"59,939",Medium
355,Cheshire,Wilmslow,"25,725",Medium
279,Cheshire,Winsford,"32,530",Medium
447,Cornwall,Camborne,"20,450",Medium
377,Cornwall,Falmouth,"24,070",Medium
367,Cornwall,Newquay,"24,545",Medium
370,Cornwall,St Austell,"24,360",Medium
397,Cornwall,Truro,"23,060",Medium
264,County Durham,Billingham,"33,920",Medium
394,County Durham,Bishop Auckland,"23,355",Medium
389,County Durham,Chester-le-Street,"23,560",Medium
299,County Durham,Consett,"29,885",Medium
